insee_c,libgeo,dep,reg,loyer_petit,revenu_menage_proxy,revenu_menage_d1,effort_median_petit,effort_d1_petit,fiable_loyer_petit,loyer_familial,effort_median_familial,effort_d1_familial,fiable_loyer_familial,prix_m2_tous,prix_m2_appart,n_ventes_tous,surface_financable,categorie_surface,fiable_prix,tension_2025,echec_loc_med,echec_loc_d1,echec_achat,echec_social,n_legs_dispo,triple_peine_median,triple_peine_d1
76597,Saint-Laurent-en-Caux,76,28,460.112,32635.6,,16.9182,,True,698.249,25.6744,,True,1455.65,,13,112.195,Confortable,True,4.74,False,,False,False,3,0,
76598,Saint-Léger-aux-Bois,76,28,422.383,35050.5,,14.4609,,True,618.215,21.1654,,True,1387.1,,5,126.452,Confortable,False,4.74,False,,,False,2,,
76599,Saint-Léger-du-Bourg-Denis,76,28,506.574,37857.8,20311.3,16.0572,29.9287,True,813.307,25.7799,48.0505,True,2342.11,3084.71,59,80.8883,Correct,True,4.74,False,True,False,False,3,0,0
76600,Saint-Léonard,76,28,467.257,37872.4,,14.8052,,True,661.259,20.9522,,True,2156.73,,28,87.8747,Correct,True,4.74,False,,False,False,3,0,
76601,Saint-Lucien,76,28,398.712,38523.9,,12.4197,,True,618.215,19.2571,,True,2022.47,,11,95.3201,Confortable,True,4.74,False,,False,False,3,0,
76602,Saint-Maclou-de-Folleville,76,28,460.112,36358.9,,15.1857,,True,618.215,20.4038,,True,1977.01,,3,92.0318,Confortable,False,4.74,False,,,False,2,,
76603,Saint-Maclou-la-Brière,76,28,467.257,41088.3,,13.6464,,True,661.259,19.3123,,True,1777.86,,14,115.653,Confortable,True,4.74,False,,False,False,3,0,
76604,Saint-Mards,76,28,469.308,43176.9,,13.0433,,True,698.249,19.4062,,True,3225.81,,2,66.9808,Correct,False,4.74,False,,,False,2,,
76605,Sainte-Marguerite-sur-Mer,76,28,469.308,37328.8,,15.0868,,True,698.249,22.4465,,True,3333.33,,18,56.0405,Contraint,True,4.74,False,,False,False,3,0,
76606,Morienne,76,28,398.712,35156.2,,13.6094,,True,544.351,18.5806,,True,2012.2,,3,87.4316,Correct,False,4.74,False,,,False,2,,
76608,Sainte-Marguerite-sur-Duclair,76,28,513.969,43464.2,28670.4,14.1901,21.5122,True,718.191,19.8285,30.0599,True,2187.37,,35,99.4367,Confortable,True,4.74,False,False,False,False,3,0,0
76609,Sainte-Marie-au-Bosc,76,28,514.241,46876,,13.1643,,True,753.388,19.2863,,True,2469.14,,13,95.0042,Confortable,True,4.74,False,,False,False,3,0,
76610,Sainte-Marie-des-Champs,76,28,449.397,37038.3,,14.56,,True,610.236,19.771,,True,2289.47,,19,80.9567,Correct,True,4.74,False,,False,False,3,0,
76611,Saint-Martin-aux-Arbres,76,28,478.656,46292.5,,12.4078,,True,636.869,16.509,,True,2222.22,,7,104.246,Confortable,False,4.74,False,,,False,2,,
76612,Saint-Martin-au-Bosc,76,28,445.163,35414.2,,15.0842,,True,603.284,20.4421,,True,1158.33,,2,152.996,Confortable,False,4.74,False,,,False,2,,
76613,Saint-Martin-aux-Buneaux,76,28,485.818,33101.7,,17.6118,,True,661.259,23.9719,,True,2464.29,2042.17,13,67.2197,Correct,True,4.74,False,,False,False,3,0,
